jersey,name,pos,height,weight,age,team,yos,predraft_team,draft_status,nationality
17,Rodney McGruder,SG,76,205,29,Detroit Pistons,4,Kansas State,"2013 NBA Draft, Undrafted ",United States
28,Alfonzo McKinnie,F,80,215,28,Los Angeles Lakers,3,Green Bay,"2015 NBA Draft, Undrafted ",United States
6,Jordan McLaughlin,G,73,185,25,Minnesota Timberwolves,1,USC,"2018 NBA Draft, Undrafted ",United States
7,Ben McLemore,SG,77,195,28,Los Angeles Lakers,7,Kansas,2013 Rnd 1 Pick 7,United States
20,Nicolo Melli,PF,81,235,30,Dallas Mavericks,1,AX Armani Exchange Milan (Italy),"2013 NBA Draft, Undrafted ",Italy
0,De'Anthony Melton,SG,75,200,22,Memphis Grizzlies,2,USC,2018 Rnd 2 Pick 16,United States
15,Sam Merrill,G,77,205,24,Milwaukee Bucks,0,Utah State,2020 Rnd 2 Pick 30,United States
25,Chimezie Metu,PF,73,225,24,Sacramento Kings,2,USC,2018 Rnd 2 Pick 19,United States Nigeria
22,Khris Middleton,SF,80,222,29,Milwaukee Bucks,8,Texas A&M,2012 Rnd 2 Pick 9,United States
8,Patty Mills,G,72,180,32,San Antonio Spurs,11,Saint Mary's,2009 Rnd 2 Pick 25,Australia
4,Paul Millsap,FC,79,257,36,Denver Nuggets,14,Louisiana Tech,2006 Rnd 2 Pick 17,United States
18,Shake Milton,SG,78,207,24,Philadelphia Sixers,2,Southern Methodist,2018 Rnd 2 Pick 24,United States
45,Donovan Mitchell,SG,75,215,24,Utah Jazz,3,Louisville,2017 Rnd 1 Pick 13,United States
20,Adam Mokoka,SG,77,215,23,Chicago Bulls,1,KK Mega Bemax (Serbia),"2019 NBA Draft, Undrafted ",France
1,Malik Monk,SG,75,200,23,Charlotte Hornets,3,Kentucky,2017 Rnd 1 Pick 11,United States
55,E'Twaun Moore,SG,76,191,32,Phoenix Suns,9,Purdue,2011 Rnd 2 Pick 25,United States
12,Ja Morant,G,75,175,21,Memphis Grizzlies,1,Murray State,2019 Rnd 1 Pick 2,United States
16,Juwan Morgan,PF,80,232,24,Utah Jazz,1,Indiana,"2019 NBA Draft, Undrafted ",United States
31,Marcus Morris,F,81,235,31,Los Angeles Clippers,9,Kansas,2011 Rnd 1 Pick 14,United States
88,Markieff Morris,PF,73,245,31,Los Angeles Lakers,9,Kansas,2011 Rnd 1 Pick 13,United States
11,Monte Morris,G,74,183,25,Denver Nuggets,3,Iowa State,2017 Rnd 2 Pick 21,United States Nigeria
15,Mychal Mulder,GF,75,184,26,Golden State Warriors,1,Kentucky,"2017 NBA Draft, Undrafted ",Canada
5,Dejounte Murray,SG,77,180,24,San Antonio Spurs,4,Washington,2016 Rnd 1 Pick 29,United States
27,Jamal Murray,SG,76,215,24,Denver Nuggets,4,Kentucky,2016 Rnd 1 Pick 7,Canada
33,Mike Muscala,FC,73,240,29,Oklahoma City Thunder,7,Bucknell,2013 Rnd 2 Pick 14,United States
14,Svi Mykhailiuk,SF,80,205,23,Oklahoma City Thunder,2,Kansas,2018 Rnd 2 Pick 17,Ukraine
11,Abdel Nader,SF,78,225,27,Phoenix Suns,3,Iowa State,2016 Rnd 2 Pick 28,United States Egypt
22,"Larry Nance, Jr. ",SF,79,245,28,Cleveland Cavaliers,5,Wyoming,2015 Rnd 1 Pick 27,United States
26,Aaron Nesmith,F,78,215,21,Boston Celtics,0,Vanderbilt,2020 Rnd 1 Pick 14,United States
19,Raulzinho Neto,PG,73,180,28,Washington Wizards,5,Acunsa GBC (Spain),2013 Rnd 2 Pick 17,Brazil
31,Georges Niang,F,80,230,27,Utah Jazz,4,Iowa State,2016 Rnd 2 Pick 20,United States
22,Zeke Nnaji,PF,73,240,20,Denver Nuggets,0,Arizona,2020 Rnd 1 Pick 22,United States
3,Nerlens Noel,FC,73,220,27,New York Knicks,7,Kentucky,2013 Rnd 1 Pick 6,United States
4,Jaylen Nowell,SG,76,196,21,Minnesota Timberwolves,1,Washington,2019 Rnd 2 Pick 13,United States
11,Frank Ntilikina,PG,78,200,22,New York Knicks,3,Strasbourg IG (France),2017 Rnd 1 Pick 8,Belgium France
25,Kendrick Nunn,SG,75,195,25,Miami Heat,2,Oakland,"2018 NBA Draft, Undrafted ",United States
21,James Nunnally,F,79,220,30,New Orleans Pelicans,2,UC Santa Barbara,"2012 NBA Draft, Undrafted ",United States
27,Jusuf Nurkic,FC,84,290,26,Portland Trail Blazers,6,Cedevita (Croatia),2014 Rnd 1 Pick 16,Bosnia and Herzegovina
2,David Nwaba,G,76,219,28,Houston Rockets,4,Cal Poly,"2016 NBA Draft, Undrafted ",United States
13,Jordan Nwora,F,79,225,22,Milwaukee Bucks,0,Louisville,2020 Rnd 2 Pick 15,United States Nigeria
23,Royce O'Neale,SF,78,226,27,Utah Jazz,3,Baylor,"2015 NBA Draft, Undrafted ",United States
37,Semi Ojeleye,SF,78,240,26,Boston Celtics,3,Southern Methodist,2017 Rnd 2 Pick 7,United States
13,Jahlil Okafor,C,73,275,25,Detroit Pistons,5,Duke,2015 Rnd 1 Pick 3,United States
3,Chuma Okeke,PF,80,230,22,Orlando Magic,0,Auburn,2019 Rnd 1 Pick 16,United States
20,Josh Okogie,SG,76,212,22,Minnesota Timberwolves,2,Georgia Tech,2018 Rnd 1 Pick 20,Nigeria United States
17,Onyeka Okongwu,PF,81,245,20,Atlanta Hawks,0,USC,2020 Rnd 1 Pick 6,United States
35,Isaac Okoro,SG,77,225,20,Cleveland Cavaliers,0,Auburn,2020 Rnd 1 Pick 5,United States
4,KZ Okpala,SG,81,210,22,Miami Heat,1,Stanford,2019 Rnd 2 Pick 2,United States
4,Victor Oladipo,G,76,210,29,Miami Heat,7,Indiana,2013 Rnd 1 Pick 2,United States
9,Kelly Olynyk,C,84,240,30,Houston Rockets,7,Gonzaga,2013 Rnd 1 Pick 13,Canada
81,Miye Oni,SF,77,206,23,Utah Jazz,1,Yale,2019 Rnd 2 Pick 28,United States
16,Cedi Osman,GF,79,230,26,Cleveland Cavaliers,3,Anadolu Efes (Turkey),2015 Rnd 2 Pick 1,North Macedonia Turkey
10,Daniel Oturu,FC,73,240,21,Los Angeles Clippers,0,Minnesota,2020 Rnd 2 Pick 3,United States
12,"Kelly Oubre, Jr. ",SF,79,205,25,Golden State Warriors,5,Kansas,2015 Rnd 1 Pick 15,United States
20,Jabari Parker,F,80,245,26,Boston Celtics,6,Duke,2014 Rnd 1 Pick 2,United States
7,Eric Paschall,F,78,255,24,Golden State Warriors,1,Villanova,2019 Rnd 2 Pick 11,United States
54,Patrick Patterson,F,81,230,32,Los Angeles Clippers,10,Kentucky,2010 Rnd 1 Pick 14,United States
3,Chris Paul,PG,72,175,35,Phoenix Suns,15,Wake Forest,2005 Rnd 1 Pick 4,United States
15,Cameron Payne,G,75,190,26,Phoenix Suns,5,Murray State,2015 Rnd 1 Pick 14,United States
6,Elfrid Payton,G,76,185,27,New York Knicks,6,Louisiana,2014 Rnd 1 Pick 10,United States
14,Norvel Pelle,FC,73,216,28,New York Knicks,1,Delaware 87ers,"2014 NBA Draft, Undrafted ",Lebanon Antigua and Barbuda
14,Reggie Perry,F,73,250,21,Brooklyn Nets,0,Mississippi State,2020 Rnd 2 Pick 27,United States
21,Theo Pinson,SG,78,218,25,New York Knicks,2,North Carolina,"2018 NBA Draft, Undrafted ",United States
24,Mason Plumlee,PF,73,245,31,Detroit Pistons,7,Duke,2013 Rnd 1 Pick 22,United States
25,Jakob Poeltl,C,84,240,25,San Antonio Spurs,4,Utah,2016 Rnd 1 Pick 9,Austria
17,Aleksej Pokusevski,C,84,201,19,Oklahoma City Thunder,0,Olympiacos U18 (Greece),2020 Rnd 1 Pick 17,Serbia
3,Jordan Poole,SG,76,195,21,Golden State Warriors,1,Michigan,2019 Rnd 1 Pick 28,United States
11,Jontay Porter,PF,73,236,21,Memphis Grizzlies,1,Missouri,"2019 NBA Draft, Undrafted ",United States
3,"Kevin Porter, Jr. ",SF,76,203,21,Houston Rockets,1,USC,2019 Rnd 1 Pick 30,United States
1,"Michael Porter, Jr. ",PF,73,218,22,Denver Nuggets,2,Missouri,2018 Rnd 1 Pick 14,United States
22,Otto Porter,SF,80,198,27,Orlando Magic,7,Georgetown,2013 Rnd 1 Pick 3,United States
1,Bobby Portis,PF,73,250,26,Milwaukee Bucks,5,Arkansas,2015 Rnd 1 Pick 22,United States
6,Kristaps Porzingis,FC,87,240,25,Dallas Mavericks,5,Coosur Real Betis (Spain),2015 Rnd 1 Pick 4,Latvia
7,Dwight Powell,PF,73,240,29,Dallas Mavericks,6,Stanford,2014 Rnd 2 Pick 15,Canada
24,Norman Powell,SG,76,215,27,Portland Trail Blazers,5,UCLA,2015 Rnd 2 Pick 16,United States
12,Taurean Prince,F,79,218,27,Cleveland Cavaliers,4,Baylor,2016 Rnd 1 Pick 12,United States
11,Payton Pritchard,PG,74,195,23,Boston Celtics,0,Oregon,2020 Rnd 1 Pick 26,United States
5,Immanuel Quickley,PG,75,188,21,New York Knicks,0,Kentucky,2020 Rnd 1 Pick 25,United States
3,Jahmi'us Ramsey,PG,76,195,19,Sacramento Kings,0,Texas Tech,2020 Rnd 2 Pick 13,United States
9,Chasson Randle,PG,75,185,28,Orlando Magic,3,Stanford,"2015 NBA Draft, Undrafted ",United States
30,Julius Randle,PF,81,250,26,New York Knicks,6,Kentucky,2014 Rnd 1 Pick 7,United States
22,Cam Reddish,G,80,218,21,Atlanta Hawks,1,Duke,2019 Rnd 1 Pick 10,United States
4,J.J. Redick,G,76,200,36,Dallas Mavericks,14,Duke,2006 Rnd 1 Pick 11,United States
44,"Paul Reed, Jr. ",F,81,220,21,Philadelphia Sixers,0,DePaul,2020 Rnd 2 Pick 28,United States
11,Naz Reid,C,81,264,21,Minnesota Timberwolves,1,LSU,"2019 NBA Draft, Undrafted ",United States
14,Nick Richards,C,73,247,23,Charlotte Hornets,0,Kentucky,2020 Rnd 2 Pick 12,Jamaica
0,Josh Richardson,G,77,200,27,Dallas Mavericks,5,Tennessee,2015 Rnd 2 Pick 10,United States
7,Grant Riller,SG,75,190,24,Charlotte Hornets,0,Charleston,2020 Rnd 2 Pick 26,United States
8,Austin Rivers,SG,76,200,28,Denver Nuggets,8,Duke,2012 Rnd 1 Pick 10,United States
55,Duncan Robinson,F,80,210,27,Miami Heat,2,Michigan,"2018 NBA Draft, Undrafted ",United States
23,Mitchell Robinson,C,85,240,23,New York Knicks,2,,2018 Rnd 2 Pick 6,United States
9,Isaiah Roby,SF,80,230,23,Oklahoma City Thunder,1,Nebraska,2019 Rnd 2 Pick 15,United States
4,Rajon Rondo,PG,73,180,35,Los Angeles Clippers,14,Kentucky,2006 Rnd 1 Pick 21,United States
4,Derrick Rose,PG,75,200,32,New York Knicks,12,Memphis,2008 Rnd 1 Pick 1,United States
31,Terrence Ross,SF,79,206,30,Orlando Magic,8,Washington,2012 Rnd 1 Pick 8,United States
3,Terry Rozier,G,73,190,27,Charlotte Hornets,5,Louisville,2015 Rnd 1 Pick 16,United States
9,Ricky Rubio,G,75,190,30,Minnesota Timberwolves,9,Club Joventut Badalona (Spain),2009 Rnd 1 Pick 5,Spain
0,D'Angelo Russell,SG,76,193,25,Minnesota Timberwolves,5,Ohio State,2015 Rnd 1 Pick 2,United States
11,Domantas Sabonis,PF,73,240,25,Indiana Pacers,4,Gonzaga,2016 Rnd 1 Pick 11,United States Lithuania
19,Luka Samanic,PF,73,235,21,San Antonio Spurs,1,Union Olimpija (Slovenia),2019 Rnd 1 Pick 19,Croatia
14,JaKarr Sampson,F,81,215,28,Indiana Pacers,5,St. John's,"2014 NBA Draft, Undrafted ",United States
20,Dario Saric,SF,73,250,27,Phoenix Suns,4,KK Cibona (Croatia),2014 Rnd 1 Pick 12,Croatia
31,Tomas Satoransky,PG,79,210,29,Chicago Bulls,4,Coosur Real Betis (Spain),2012 Rnd 2 Pick 2,Czech Republic
17,Dennis Schroder,PG,73,172,27,Los Angeles Lakers,7,Basketball Lowen Braunschweig (Germany),2013 Rnd 1 Pick 17,Germany
1,Mike Scott,PF,80,237,32,Philadelphia Sixers,8,Virginia,2012 Rnd 2 Pick 13,United States
4,Jayden Scrubb,SG,78,215,21,Los Angeles Clippers,0,John A. Logan,2020 Rnd 2 Pick 25,United States
2,Collin Sexton,PG,73,192,22,Cleveland Cavaliers,2,Alabama,2018 Rnd 1 Pick 8,United States
13,Landry Shamet,PG,76,190,24,Brooklyn Nets,2,Wichita State,2018 Rnd 1 Pick 26,United States
43,Pascal Siakam,F,81,230,27,Toronto Raptors,4,New Mexico State,2016 Rnd 1 Pick 27,Cameroon
25,Ben Simmons,PF,73,230,24,Philadelphia Sixers,4,LSU,2016 Rnd 1 Pick 1,Australia
1,Anfernee Simons,SG,76,185,21,Portland Trail Blazers,2,,2018 Rnd 1 Pick 24,United States
91,Deividas Sirvydis,GF,80,190,20,Detroit Pistons,0,Lietuvos Rytas U18 (Lithuania),2019 Rnd 2 Pick 7,Lithuania
6,Alen Smailagic,PF,73,215,20,Golden State Warriors,1,Santa Cruz Warriors,2019 Rnd 2 Pick 9,Serbia
36,Marcus Smart,PG,75,220,27,Boston Celtics,6,Oklahoma State,2014 Rnd 1 Pick 6,United States
