jersey,name,pos,height,weight,age,team,yos,predraft_team,draft_status,nationality
7,Justise Winslow,SF,78,225,25,Memphis Grizzlies,5,Duke,2015 Rnd 1 Pick 10,United States
5,Cassius Winston,PG,73,185,23,Washington Wizards,0,Michigan State,2020 Rnd 2 Pick 23,United States
33,James Wiseman,C,85,240,20,Golden State Warriors,0,Memphis,2020 Rnd 1 Pick 2,United States
35,Christian Wood,PF,73,214,25,Houston Rockets,4,UNLV,"2015 NBA Draft, Undrafted ",United States
13,Robert Woodard II,G,79,235,21,Sacramento Kings,0,Mississippi State,2020 Rnd 2 Pick 10,United States
55,Delon Wright,G,77,185,29,Sacramento Kings,5,Utah,2015 Rnd 1 Pick 20,United States
21,Thaddeus Young,F,80,235,32,Chicago Bulls,13,Georgia Tech,2007 Rnd 1 Pick 12,United States
11,Trae Young,PG,73,180,22,Atlanta Hawks,2,Oklahoma,2018 Rnd 1 Pick 5,United States
40,Cody Zeller,F,84,240,28,Charlotte Hornets,7,Indiana,2013 Rnd 1 Pick 4,United States
40,Ivica Zubac,C,85,240,24,Los Angeles Clippers,4,KK Mega Bemax (Serbia),2016 Rnd 2 Pick 2,Bosnia and Herzegovina Croatia
